case_id,language,category,expected_low,expected_high,tool,mode,similarity
CASE_CODE_JAVA_036,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_036,Java,diferente,0,20,jplag,cohorte,0.0
CASE_CODE_JAVA_036,Java,diferente,0,20,dolos,cohorte,1.83
CASE_CODE_JAVA_036,Java,diferente,0,20,dolos,m10,0.0
CASE_CODE_JAVA_037,Java,identico,100,100,moss,cohorte,98.0
CASE_CODE_JAVA_037,Java,identico,100,100,jplag,cohorte,100.0
CASE_CODE_JAVA_037,Java,identico,100,100,dolos,cohorte,100.0
CASE_CODE_JAVA_037,Java,identico,100,100,dolos,m10,84.48
CASE_CODE_JAVA_038,Java,funcional,70,90,moss,cohorte,44.0
CASE_CODE_JAVA_038,Java,funcional,70,90,jplag,cohorte,58.06
CASE_CODE_JAVA_038,Java,funcional,70,90,dolos,cohorte,48.52
CASE_CODE_JAVA_038,Java,funcional,70,90,dolos,m10,41.5
CASE_CODE_JAVA_039,Java,estructural,40,60,moss,cohorte,66.0
CASE_CODE_JAVA_039,Java,estructural,40,60,jplag,cohorte,100.0
CASE_CODE_JAVA_039,Java,estructural,40,60,dolos,cohorte,67.63
CASE_CODE_JAVA_039,Java,estructural,40,60,dolos,m10,47.93
CASE_CODE_JAVA_040,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_040,Java,diferente,0,20,jplag,cohorte,0.0
CASE_CODE_JAVA_040,Java,diferente,0,20,dolos,cohorte,5.35
CASE_CODE_JAVA_040,Java,diferente,0,20,dolos,m10,0.0
CASE_CODE_JAVA_041,Java,identico,100,100,moss,cohorte,82.0
CASE_CODE_JAVA_041,Java,identico,100,100,jplag,cohorte,100.0
CASE_CODE_JAVA_041,Java,identico,100,100,dolos,cohorte,100.0
CASE_CODE_JAVA_041,Java,identico,100,100,dolos,m10,90.91
CASE_CODE_JAVA_042,Java,funcional,70,90,moss,cohorte,18.0
CASE_CODE_JAVA_042,Java,funcional,70,90,jplag,cohorte,0.0
CASE_CODE_JAVA_042,Java,funcional,70,90,dolos,cohorte,32.73
CASE_CODE_JAVA_042,Java,funcional,70,90,dolos,m10,8.06
CASE_CODE_JAVA_043,Java,estructural,40,60,moss,cohorte,70.0
CASE_CODE_JAVA_043,Java,estructural,40,60,jplag,cohorte,100.0
CASE_CODE_JAVA_043,Java,estructural,40,60,dolos,cohorte,93.1
CASE_CODE_JAVA_043,Java,estructural,40,60,dolos,m10,82.93
CASE_CODE_JAVA_044,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_044,Java,diferente,0,20,jplag,cohorte,0.0
CASE_CODE_JAVA_044,Java,diferente,0,20,dolos,cohorte,19.77
CASE_CODE_JAVA_044,Java,diferente,0,20,dolos,m10,0.0
CASE_CODE_JAVA_045,Java,identico,100,100,moss,cohorte,79.0
CASE_CODE_JAVA_045,Java,identico,100,100,jplag,cohorte,100.0
CASE_CODE_JAVA_045,Java,identico,100,100,dolos,cohorte,100.0
CASE_CODE_JAVA_045,Java,identico,100,100,dolos,m10,93.75
CASE_CODE_JAVA_046,Java,funcional,70,90,moss,cohorte,21.5
CASE_CODE_JAVA_046,Java,funcional,70,90,jplag,cohorte,0.0
CASE_CODE_JAVA_046,Java,funcional,70,90,dolos,cohorte,41.05
CASE_CODE_JAVA_046,Java,funcional,70,90,dolos,m10,14.29
CASE_CODE_JAVA_047,Java,estructural,40,60,moss,cohorte,25.0
CASE_CODE_JAVA_047,Java,estructural,40,60,jplag,cohorte,35.71
CASE_CODE_JAVA_047,Java,estructural,40,60,dolos,cohorte,62.34
CASE_CODE_JAVA_047,Java,estructural,40,60,dolos,m10,17.14
CASE_CODE_JAVA_048,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_048,Java,diferente,0,20,jplag,cohorte,0.0
CASE_CODE_JAVA_048,Java,diferente,0,20,dolos,cohorte,8.51
CASE_CODE_JAVA_048,Java,diferente,0,20,dolos,m10,0.0
CASE_CODE_JAVA_049,Java,identico,100,100,moss,cohorte,85.0
CASE_CODE_JAVA_049,Java,identico,100,100,jplag,cohorte,100.0
CASE_CODE_JAVA_049,Java,identico,100,100,dolos,cohorte,100.0
CASE_CODE_JAVA_049,Java,identico,100,100,dolos,m10,91.3
CASE_CODE_JAVA_050,Java,funcional,70,90,moss,cohorte,0.0
CASE_CODE_JAVA_050,Java,funcional,70,90,jplag,cohorte,0.0
CASE_CODE_JAVA_050,Java,funcional,70,90,dolos,cohorte,28.57
CASE_CODE_JAVA_050,Java,funcional,70,90,dolos,m10,0.0
CASE_CODE_JAVA_051,Java,estructural,40,60,moss,cohorte,63.0
CASE_CODE_JAVA_051,Java,estructural,40,60,jplag,cohorte,73.85
CASE_CODE_JAVA_051,Java,estructural,40,60,dolos,cohorte,71.26
CASE_CODE_JAVA_051,Java,estructural,40,60,dolos,m10,40.0
CASE_CODE_JAVA_052,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_052,Java,diferente,0,20,jplag,cohorte,0.0
CASE_CODE_JAVA_052,Java,diferente,0,20,dolos,cohorte,7.37
CASE_CODE_JAVA_052,Java,diferente,0,20,dolos,m10,0.0
CASE_CODE_JAVA_053,Java,identico,100,100,moss,cohorte,88.0
CASE_CODE_JAVA_053,Java,identico,100,100,jplag,cohorte,100.0
CASE_CODE_JAVA_053,Java,identico,100,100,dolos,cohorte,100.0
CASE_CODE_JAVA_053,Java,identico,100,100,dolos,m10,87.18
CASE_CODE_JAVA_054,Java,funcional,70,90,moss,cohorte,0.0
CASE_CODE_JAVA_054,Java,funcional,70,90,jplag,cohorte,0.0
CASE_CODE_JAVA_054,Java,funcional,70,90,dolos,cohorte,20.86
CASE_CODE_JAVA_054,Java,funcional,70,90,dolos,m10,2.75
CASE_CODE_JAVA_055,Java,estructural,40,60,moss,cohorte,20.5
CASE_CODE_JAVA_055,Java,estructural,40,60,jplag,cohorte,53.76
CASE_CODE_JAVA_055,Java,estructural,40,60,dolos,cohorte,42.06
CASE_CODE_JAVA_055,Java,estructural,40,60,dolos,m10,14.58
CASE_CODE_JAVA_056,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_056,Java,diferente,0,20,jplag,cohorte,0.0
CASE_CODE_JAVA_056,Java,diferente,0,20,dolos,cohorte,8.06
CASE_CODE_JAVA_056,Java,diferente,0,20,dolos,m10,0.0
CASE_CODE_JAVA_057,Java,identico,100,100,moss,cohorte,93.0
CASE_CODE_JAVA_057,Java,identico,100,100,jplag,cohorte,100.0
CASE_CODE_JAVA_057,Java,identico,100,100,dolos,cohorte,100.0
CASE_CODE_JAVA_057,Java,identico,100,100,dolos,m10,80.77
CASE_CODE_JAVA_058,Java,funcional,70,90,moss,cohorte,10.0
CASE_CODE_JAVA_058,Java,funcional,70,90,jplag,cohorte,16.26
CASE_CODE_JAVA_058,Java,funcional,70,90,dolos,cohorte,30.9
CASE_CODE_JAVA_058,Java,funcional,70,90,dolos,m10,11.11
CASE_CODE_JAVA_059,Java,estructural,40,60,moss,cohorte,65.5
CASE_CODE_JAVA_059,Java,estructural,40,60,jplag,cohorte,83.48
CASE_CODE_JAVA_059,Java,estructural,40,60,dolos,cohorte,94.84
CASE_CODE_JAVA_059,Java,estructural,40,60,dolos,m10,73.87
CASE_CODE_JAVA_060,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_060,Java,diferente,0,20,jplag,cohorte,0.0
CASE_CODE_JAVA_060,Java,diferente,0,20,dolos,cohorte,11.19
CASE_CODE_JAVA_060,Java,diferente,0,20,dolos,m10,1.94
