id,leftFileId,leftFilePath,rightFileId,rightFilePath,similarity,totalOverlap,longestFragment,leftCovered,rightCovered
3894,20,baselines_work/cohorte/csharp/CODE_ESTRU_CS_003/CODE_ESTRU_CS_003.cs,68,baselines_work/cohorte/csharp/CODE_IDENT_CS_011_COPY/CODE_IDENT_CS_011.cs,0.05303030303030303,7,1,3,4
3897,20,baselines_work/cohorte/csharp/CODE_ESTRU_CS_003/CODE_ESTRU_CS_003.cs,69,baselines_work/cohorte/csharp/CODE_IDENT_CS_013/CODE_IDENT_CS_013.cs,0.05785123966942149,7,1,3,4
3898,20,baselines_work/cohorte/csharp/CODE_ESTRU_CS_003/CODE_ESTRU_CS_003.cs,71,baselines_work/cohorte/csharp/CODE_IDENT_CS_013_COPY/CODE_IDENT_CS_013.cs,0.05785123966942149,7,1,3,4
3923,14,baselines_work/cohorte/csharp/CODE_ESTRU_CS_004/CODE_ESTRU_CS_004.cs,38,baselines_work/cohorte/csharp/CODE_FUN_CS_010/CODE_FUN_CS_010.cs,0.02258064516129032,7,1,5,2
4476,26,baselines_work/cohorte/csharp/CODE_ESTRU_CS_015/CODE_ESTRU_CS_015.cs,42,baselines_work/cohorte/csharp/CODE_FUN_CS_013/CODE_FUN_CS_013.cs,0.047619047619047616,7,1,4,3
4762,35,baselines_work/cohorte/csharp/CODE_FUN_CS_007/CODE_FUN_CS_007.cs,41,baselines_work/cohorte/csharp/CODE_FUN_CS_012/CODE_FUN_CS_012.cs,0.043209876543209874,7,2,4,3
4764,35,baselines_work/cohorte/csharp/CODE_FUN_CS_007/CODE_FUN_CS_007.cs,43,baselines_work/cohorte/csharp/CODE_FUN_CS_014/CODE_FUN_CS_014.cs,0.046052631578947366,7,2,4,3
5040,44,baselines_work/cohorte/csharp/CODE_FUN_CS_015/CODE_FUN_CS_015.cs,52,baselines_work/cohorte/csharp/CODE_IDENT_CS_004/CODE_IDENT_CS_004.cs,0.029166666666666667,7,1,5,2
5041,44,baselines_work/cohorte/csharp/CODE_FUN_CS_015/CODE_FUN_CS_015.cs,50,baselines_work/cohorte/csharp/CODE_IDENT_CS_004_COPY/CODE_IDENT_CS_004.cs,0.029166666666666667,7,1,5,2
2737,2,baselines_work/cohorte/csharp/CODE_DIF_CS_001/CODE_DIF_CS_001.cs,16,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,0.013729977116704805,6,2,3,3
2753,2,baselines_work/cohorte/csharp/CODE_DIF_CS_001/CODE_DIF_CS_001.cs,33,baselines_work/cohorte/csharp/CODE_FUN_CS_001/CODE_FUN_CS_001.cs,0.03550295857988166,6,3,3,3
2803,1,baselines_work/cohorte/csharp/CODE_DIF_CS_002/CODE_DIF_CS_002.cs,5,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,0.010948905109489052,6,2,2,4
2804,1,baselines_work/cohorte/csharp/CODE_DIF_CS_002/CODE_DIF_CS_002.cs,8,baselines_work/cohorte/csharp/CODE_DIF_CS_009/CODE_DIF_CS_009.cs,0.023166023166023165,6,2,3,3
2808,1,baselines_work/cohorte/csharp/CODE_DIF_CS_002/CODE_DIF_CS_002.cs,10,baselines_work/cohorte/csharp/CODE_DIF_CS_013/CODE_DIF_CS_013.cs,0.011363636363636364,6,1,2,4
2819,1,baselines_work/cohorte/csharp/CODE_DIF_CS_002/CODE_DIF_CS_002.cs,23,baselines_work/cohorte/csharp/CODE_ESTRU_CS_009/CODE_ESTRU_CS_009.cs,0.04054054054054054,6,2,3,3
2829,1,baselines_work/cohorte/csharp/CODE_DIF_CS_002/CODE_DIF_CS_002.cs,30,baselines_work/cohorte/csharp/CODE_FUN_CS_004/CODE_FUN_CS_004.cs,0.023346303501945526,6,3,3,3
2857,1,baselines_work/cohorte/csharp/CODE_DIF_CS_002/CODE_DIF_CS_002.cs,62,baselines_work/cohorte/csharp/CODE_IDENT_CS_009/CODE_IDENT_CS_009.cs,0.04054054054054054,6,2,3,3
2858,1,baselines_work/cohorte/csharp/CODE_DIF_CS_002/CODE_DIF_CS_002.cs,61,baselines_work/cohorte/csharp/CODE_IDENT_CS_009_COPY/CODE_IDENT_CS_009.cs,0.04054054054054054,6,2,3,3
2876,4,baselines_work/cohorte/csharp/CODE_DIF_CS_003/CODE_DIF_CS_003.cs,8,baselines_work/cohorte/csharp/CODE_DIF_CS_009/CODE_DIF_CS_009.cs,0.014251781472684086,6,1,3,3
2978,0,baselines_work/cohorte/csharp/CODE_DIF_CS_004/CODE_DIF_CS_004.cs,38,baselines_work/cohorte/csharp/CODE_FUN_CS_010/CODE_FUN_CS_010.cs,0.012903225806451613,6,1,4,2
2979,0,baselines_work/cohorte/csharp/CODE_DIF_CS_004/CODE_DIF_CS_004.cs,37,baselines_work/cohorte/csharp/CODE_FUN_CS_011/CODE_FUN_CS_011.cs,0.012170385395537525,6,1,2,4
3086,6,baselines_work/cohorte/csharp/CODE_DIF_CS_006/CODE_DIF_CS_006.cs,8,baselines_work/cohorte/csharp/CODE_DIF_CS_009/CODE_DIF_CS_009.cs,0.01818181818181818,6,3,3,3
3161,9,baselines_work/cohorte/csharp/CODE_DIF_CS_007/CODE_DIF_CS_007.cs,17,baselines_work/cohorte/csharp/CODE_ESTRU_CS_001/CODE_ESTRU_CS_001.cs,0.01775147928994083,6,2,3,3
3187,9,baselines_work/cohorte/csharp/CODE_DIF_CS_007/CODE_DIF_CS_007.cs,41,baselines_work/cohorte/csharp/CODE_FUN_CS_012/CODE_FUN_CS_012.cs,0.017045454545454544,6,1,3,3
3228,5,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,17,baselines_work/cohorte/csharp/CODE_ESTRU_CS_001/CODE_ESTRU_CS_001.cs,0.012295081967213115,6,2,3,3
3253,5,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,37,baselines_work/cohorte/csharp/CODE_FUN_CS_011/CODE_FUN_CS_011.cs,0.011650485436893204,6,1,4,2
3255,5,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,42,baselines_work/cohorte/csharp/CODE_FUN_CS_013/CODE_FUN_CS_013.cs,0.011787819253438114,6,1,4,2
3258,5,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,47,baselines_work/cohorte/csharp/CODE_IDENT_CS_001/CODE_IDENT_CS_001.cs,0.012958963282937365,6,2,3,3
3259,5,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,45,baselines_work/cohorte/csharp/CODE_IDENT_CS_001_COPY/CODE_IDENT_CS_001.cs,0.012958963282937365,6,2,3,3
3379,12,baselines_work/cohorte/csharp/CODE_DIF_CS_010/CODE_DIF_CS_010.cs,40,baselines_work/cohorte/csharp/CODE_FUN_CS_006/CODE_FUN_CS_006.cs,0.01910828025477707,6,1,3,3
3382,12,baselines_work/cohorte/csharp/CODE_DIF_CS_010/CODE_DIF_CS_010.cs,39,baselines_work/cohorte/csharp/CODE_FUN_CS_009/CODE_FUN_CS_009.cs,0.020066889632107024,6,2,3,3
3448,7,baselines_work/cohorte/csharp/CODE_DIF_CS_011/CODE_DIF_CS_011.cs,37,baselines_work/cohorte/csharp/CODE_FUN_CS_011/CODE_FUN_CS_011.cs,0.016,6,2,3,3
